1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.628904	0.000000	16.193193	0.021764	1161.9
1	-0.603743	0.000000	16.193193	0.015353	4.3
2	-0.636271	0.999995	15.457143	0.011236	4.3
3	-0.664232	0.319148	15.950781	0.007747	4.9
4	-0.650639	0.000000	16.193193	0.016263	4.4
5	-0.645915	0.544345	15.784052	0.011079	4.3
6	-0.622528	0.000000	16.193193	0.016468	4.4
7	-0.649959	0.000000	16.193193	0.009390	4.7
8	-0.631889	0.000000	16.193193	0.018032	6.1
9	-0.651741	0.999893	15.457214	0.011421	4.6
10	-0.616653	1.999838	14.785194	0.013219	4.0
11	-0.657268	1.977146	14.799795	0.014202	6.6
12	-0.657607	1.468318	15.134958	0.010906	4.6
13	-0.664653	2.468316	14.490049	0.012800	4.0
14	-0.658700	1.816193	14.904198	0.015481	4.9
15	-0.630023	2.816193	14.278397	0.011192	6.5
16	-0.660703	2.152984	14.687397	0.014547	4.0
17	-0.616279	3.135146	14.089704	0.009497	6.7
18	-0.660299	2.470649	14.488609	0.010592	4.5
19	-0.621107	3.470601	13.896555	0.014150	4.7
20	-0.657688	4.411786	13.381864	0.008582	5.0
21	-0.613543	3.733096	13.749069	0.009914	3.9
22	-0.650200	3.056335	14.135863	0.011748	4.8
23	-0.631045	4.056207	13.571769	0.007924	7.3
24	-0.629362	3.955273	13.626662	0.012822	4.4
25	-0.648760	3.685622	13.775511	0.009581	4.3
26	-0.637170	3.004927	14.166136	0.014490	4.9
27	-0.624860	3.884268	13.665544	0.011225	6.8
28	-0.649968	4.884190	13.137636	0.016240	4.7
29	-0.618460	4.203347	13.492535	0.008333	4.7
30	-0.640522	5.036725	13.060669	0.013689	7.9
31	-0.612307	6.032388	12.579616	0.011537	3.8
32	-0.635850	5.362248	12.899395	0.013542	6.7
33	-0.645287	6.362158	12.428006	0.009346	4.9
34	-0.621908	5.681416	12.745090	0.009825	4.2
35	-0.640954	6.622100	12.311050	0.012796	5.6
36	-0.631665	5.941322	12.622137	0.010007	4.4
37	-0.672558	5.260471	12.949389	0.013270	4.5
38	-0.624002	5.611029	12.778802	0.016257	8.6
39	-0.666674	6.586297	12.327028	0.010844	4.7
40	-0.632840	7.586282	11.895813	0.013254	4.6
41	-0.664471	8.586006	11.493848	0.012107	4.4
42	-0.612998	9.585273	11.118326	0.009506	4.5
43	-0.610044	10.572095	10.770811	0.009306	4.1
44	-0.612794	11.571889	10.440201	0.016071	4.7
45	-0.629450	11.195515	10.562249	0.011568	6.7
46	-0.613448	10.514664	10.790439	0.009417	4.1
47	-0.651705	11.507015	10.461036	0.007840	4.4
48	-0.629740	12.469165	10.160309	0.009961	6.5
49	-0.661300	12.089843	10.276780	0.008743	4.1
50	-0.629118	13.073267	9.980172	0.009288	4.7
51	-0.664119	13.568061	9.837319	0.008678	4.2
52	-0.627081	13.633233	9.818808	0.014677	4.6
53	-0.618772	12.952382	10.015705	0.011892	6.5
54	-0.637758	13.952382	9.729153	0.006813	4.3
55	-0.610684	13.271558	9.922428	0.016845	6.2
56	-0.638754	14.271497	9.641129	0.008350	5.1
57	-0.623714	13.593474	9.830093	0.008658	4.0
58	-0.634215	14.573637	9.559243	0.013033	4.3
59	-0.649293	15.573619	9.297878	0.012326	4.0
60	-0.611955	16.573613	9.050422	0.011684	4.9
61	-0.647940	15.893059	9.217372	0.012523	7.2
62	-0.662695	16.893059	8.974125	0.012271	4.5
63	-0.697832	17.892570	8.743497	0.008485	4.4
64	-0.663101	18.869621	8.529227	0.012226	5.4
65	-0.608759	18.299804	8.652894	0.009898	4.0
