1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.455193	627.201626	0.027498	463.1
1	-0.352352	623.504937	0.013036	8.1
2	-1.004867	619.865785	0.018278	8.4
3	-0.559066	616.282728	0.011432	7.8
4	-0.469077	612.754375	0.008555	9.6
5	-1.507457	609.279381	0.032039	9.0
6	-1.039123	605.856447	0.020984	8.9
7	-1.387759	602.484317	0.042171	8.3
8	-1.358481	599.161779	0.023217	9.1
9	-0.001580	595.887656	0.000041	11.0
10	-0.771738	592.660813	0.015286	8.0
11	-1.522247	589.480151	0.034628	7.7
12	-0.756705	586.344606	0.024236	7.5
13	-0.815172	583.253145	0.013959	9.8
14	-1.197795	580.204771	0.026802	9.7
15	-0.597862	577.198517	0.009753	8.6
16	-0.366730	574.233444	0.012501	7.9
17	-1.060269	571.308645	0.024483	9.0
18	-0.623901	568.423237	0.008900	8.7
19	-1.373267	565.576365	0.026219	8.5
20	-0.737936	562.767201	0.010611	9.1
21	-1.380119	559.994938	0.030477	8.1
22	-0.583552	557.258797	0.012185	10.1
23	-0.903316	554.558018	0.021091	7.4
24	-1.241669	551.891865	0.019110	9.2
25	-0.564997	549.259621	0.012765	7.9
26	-0.693903	546.660592	0.011278	8.2
27	-1.060608	544.094102	0.040553	11.3
28	-1.206456	541.559494	0.015781	8.0
29	-0.752369	539.056129	0.007193	8.0
30	-1.135683	536.583387	0.025570	8.5
31	-0.725395	534.140663	0.016825	8.3
32	-1.548539	531.727370	0.028927	9.8
33	-1.574138	529.342935	0.024004	9.1
34	-0.633210	526.986802	0.009652	7.8
35	-1.633322	524.658430	0.017403	7.8
36	-0.850123	522.357290	0.009466	8.1
37	-0.917938	520.082868	0.008122	9.7
38	-1.324774	517.834665	0.029253	8.1
39	-0.325146	515.612193	0.005464	9.4
40	-1.286672	513.414976	0.010765	6.8
41	-0.671789	511.242551	0.008319	7.3
42	-1.502612	509.094468	0.028467	10.9
43	-1.277140	506.970285	0.020511	8.9
44	-0.947166	504.869574	0.011771	7.1
45	-1.187874	502.791916	0.022953	7.6
46	-1.149660	500.736903	0.019029	8.9
47	-1.346715	498.704137	0.022706	10.0
48	-0.779774	496.693228	0.006424	8.6
49	-1.089933	494.703798	0.016751	8.7
50	-1.470004	492.735476	0.012970	8.2
51	-0.912870	490.787900	0.024876	7.8
52	-1.485837	488.860718	0.028774	13.0
53	-1.488306	486.953585	0.028564	7.9
54	-1.519393	485.066164	0.020564	8.6
55	-0.681153	483.198126	0.018686	8.1
56	-1.479766	481.349149	0.027298	9.8
57	-0.961184	479.518920	0.019401	8.0
58	-1.169579	477.707132	0.024072	9.5
59	-1.296459	475.913485	0.019384	7.3
60	-0.589203	474.137684	0.010109	7.1
61	-1.619326	472.379445	0.019604	10.7
62	-0.813906	470.638485	0.009199	7.7
63	-1.330972	468.914531	0.019036	7.3
64	-1.504737	467.207315	0.013978	7.9
65	-0.746139	465.516573	0.021523	7.9
66	-0.299099	463.842050	0.002026	9.9
67	-0.721786	462.183494	0.012931	9.0
68	-1.436778	460.540658	0.010164	8.3
69	-1.144101	458.913303	0.017430	7.6
70	-1.590153	457.301192	0.011724	8.3
71	-1.261838	455.704096	0.017310	11.0
72	-0.059078	454.121787	0.000911	8.8
73	-0.319580	452.554045	0.002945	9.9
74	-0.470701	451.000653	0.007955	8.6
75	-1.150302	449.461399	0.021853	10.7
76	-0.198468	447.936075	0.000470	12.2
77	-1.278936	446.424477	0.012800	8.2
78	-1.370746	444.926406	0.008671	7.9
79	-1.602075	443.441666	0.021865	13.5
80	-0.635300	441.970065	0.006853	8.3
