1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.456687	0.000000	23.285587	0.020479	1037.5
1	-0.456416	0.000000	23.285587	0.020412	3.9
2	-0.465840	0.000000	23.285587	0.019637	3.6
3	-0.497193	0.000000	23.285587	0.019107	4.0
4	-0.489589	0.000000	23.285587	0.020502	3.7
5	-0.496687	0.000000	23.285587	0.021360	3.9
6	-0.523540	0.000000	23.285587	0.017525	3.7
7	-0.493363	0.000000	23.285587	0.017918	3.9
8	-0.535321	0.000000	23.285587	0.023211	4.6
9	-0.570261	0.000000	23.285587	0.019986	4.9
10	-0.550972	0.000000	23.285587	0.019741	3.6
11	-0.533831	0.000000	23.285587	0.016714	5.0
12	-0.524150	0.000000	23.285587	0.013698	3.7
13	-0.545230	0.000000	23.285587	0.017557	3.6
14	-0.576431	0.000000	23.285587	0.019475	3.7
15	-0.560261	0.000000	23.285587	0.019442	4.2
16	-0.584702	0.000000	23.285587	0.017495	3.6
17	-0.591647	0.000000	23.285587	0.016260	4.7
18	-0.592141	0.000000	23.285587	0.014374	6.5
19	-0.608744	0.000000	23.285587	0.016505	3.6
20	-0.572378	0.000000	23.285587	0.016985	4.1
21	-0.618782	0.000000	23.285587	0.010031	3.7
22	-0.593781	0.000000	23.285587	0.013994	4.1
23	-0.612637	0.000000	23.285587	0.017285	3.6
24	-0.579540	0.000000	23.285587	0.012554	4.0
25	-0.606716	0.000000	23.285587	0.012254	3.6
26	-0.615564	0.000000	23.285587	0.019142	5.2
27	-0.648489	0.000000	23.285587	0.013134	4.5
28	-0.619383	0.000000	23.285587	0.013563	3.7
29	-0.640928	0.000000	23.285587	0.013015	3.7
30	-0.600050	0.000000	23.285587	0.011371	4.9
31	-0.630803	0.000000	23.285587	0.017182	3.6
32	-0.632566	0.000000	23.285587	0.014688	3.8
33	-0.616207	0.000000	23.285587	0.015065	4.0
34	-0.652671	0.000000	23.285587	0.015034	3.8
35	-0.646336	0.000000	23.285587	0.017756	5.0
36	-0.654911	0.000000	23.285587	0.020007	4.5
37	-0.653578	0.000000	23.285587	0.017407	4.0
38	-0.628192	0.000000	23.285587	0.019834	5.2
39	-0.660299	0.000000	23.285587	0.023718	3.8
40	-0.690321	0.000000	23.285587	0.019781	3.7
41	-0.648812	0.000000	23.285587	0.018652	4.7
42	-0.649482	0.000000	23.285587	0.021264	3.7
43	-0.686058	0.000000	23.285587	0.016822	4.5
44	-0.685577	0.000000	23.285587	0.020884	6.8
45	-0.703702	0.000000	23.285587	0.021676	5.6
46	-0.682748	0.000000	23.285587	0.015741	3.7
47	-0.695661	0.000000	23.285587	0.018710	4.8
48	-0.724180	0.000000	23.285587	0.018233	3.9
49	-0.699818	0.000000	23.285587	0.020006	4.7
50	-0.735002	0.000000	23.285587	0.021820	3.6
51	-0.740089	0.000000	23.285587	0.021967	4.6
52	-0.715892	0.000000	23.285587	0.021759	6.7
53	-0.781012	0.000000	23.285587	0.021858	3.8
54	-0.778411	0.000000	23.285587	0.023265	4.7
55	-0.779925	0.000000	23.285587	0.012116	4.9
56	-0.787826	0.000000	23.285587	0.014080	4.4
57	-0.756853	0.000000	23.285587	0.014846	4.7
58	-0.799090	0.000000	23.285587	0.016244	5.7
59	-0.781717	0.000000	23.285587	0.015776	7.4
60	-0.804790	0.000000	23.285587	0.014489	7.9
61	-0.805761	0.000000	23.285587	0.008450	8.8
62	-0.780769	0.000000	23.285587	0.014609	5.8
63	-0.771636	0.999984	22.227168	0.015009	5.8
64	-0.797832	1.999984	21.260769	0.011666	4.6
65	-0.773209	2.999984	20.374903	0.009306	4.2
66	-0.751863	3.720392	19.781132	0.011195	6.5
67	-0.803430	3.581360	19.893014	0.013110	5.0
68	-0.814037	4.581359	19.115377	0.011252	3.8
69	-0.815158	5.581359	18.396250	0.010524	6.2
70	-0.772061	5.451899	18.486285	0.010583	3.8
71	-0.761914	6.451899	17.812878	0.011041	4.5
72	-0.774096	7.419820	17.206208	0.012648	4.7
73	-0.809522	7.280788	17.290796	0.010740	5.1
74	-0.805195	7.141756	17.376220	0.009146	5.6
75	-0.791438	8.141710	16.779981	0.009853	4.4
76	-0.784693	9.132407	16.228287	0.008362	5.0
77	-0.791261	8.993375	16.303512	0.013937	4.6
78	-0.777846	9.993375	15.777479	0.011866	3.7
79	-0.788466	9.953869	15.797616	0.010254	4.8
80	-0.769059	10.953869	15.303228	0.012306	3.7
81	-0.782592	10.814837	15.370104	0.013400	5.1
82	-0.781798	10.675805	15.437566	0.012675	5.5
83	-0.812342	10.536773	15.505624	0.008980	7.7
84	-0.826600	11.536773	15.029067	0.011072	4.1
85	-0.804615	11.397742	15.093562	0.008654	4.9
86	-0.791967	12.397742	14.641629	0.006739	3.9
87	-0.812007	12.526344	14.585466	0.007791	4.1
88	-0.786143	12.794748	14.469625	0.011761	3.9
89	-0.744998	12.656805	14.528929	0.007404	8.0
90	-0.788286	13.656805	14.109706	0.009979	6.9
91	-0.808123	13.517773	14.166538	0.010863	4.0
92	-0.792270	14.517773	13.767680	0.009948	6.3
93	-0.763160	15.517773	13.390667	0.008232	3.8
94	-0.750978	16.517773	13.033752	0.008599	4.5
95	-0.749249	17.517773	12.695369	0.009001	5.2
96	-0.773702	17.378741	12.741360	0.009147	4.9
97	-0.723379	18.378741	12.417800	0.008273	5.2
98	-0.812552	18.239709	12.461798	0.012199	4.8
99	-0.776538	19.239709	12.152109	0.011377	5.1
100	-0.758622	19.100677	12.194242	0.013057	5.4
101	-0.740221	19.072161	12.202919	0.009330	3.8
