1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.981606	627.201626	0.009811	483.5
1	-1.084274	623.504937	0.010907	9.2
2	-0.764858	619.865785	0.013475	8.2
3	-1.128795	616.282728	0.007462	7.5
4	-0.211639	612.754375	0.002244	8.0
5	-1.235285	609.279381	0.014322	8.1
6	-0.864849	605.856447	0.015143	9.3
7	-0.015194	602.484317	0.000356	10.0
8	-0.544198	599.161779	0.006159	7.4
9	-0.729835	595.887656	0.009992	8.4
10	-0.692670	592.660813	0.006989	8.0
11	-0.773605	589.480151	0.010864	9.7
12	-0.820428	586.344606	0.015824	7.7
13	-0.940863	583.253145	0.007771	7.8
14	-1.065940	580.204771	0.019023	8.2
15	-1.116643	577.198517	0.013600	10.0
16	-1.009277	574.233444	0.014396	8.9
17	-1.184422	571.308645	0.011992	7.2
18	-1.135746	568.423237	0.010553	7.5
19	-0.736348	565.576365	0.017236	8.5
20	-0.007687	562.767201	0.000522	8.5
21	-0.340667	559.994938	0.006416	7.8
22	-0.560875	557.258797	0.013255	7.4
23	-1.165847	554.558018	0.013635	8.0
24	-1.170034	551.891865	0.015709	8.2
25	-0.916001	549.259621	0.015289	7.8
26	-1.183098	546.660592	0.008544	7.3
27	-0.982114	544.094102	0.012048	8.1
28	-0.873605	541.559494	0.008730	8.4
29	-1.174798	539.056129	0.010993	7.6
30	-0.999568	536.583387	0.012424	7.3
31	-0.316035	534.140663	0.004945	8.1
32	-0.158239	531.727370	0.003341	8.1
33	-0.753490	529.342935	0.007015	7.6
34	-1.229956	526.986802	0.009108	7.4
35	-1.155761	524.658430	0.019741	8.1
36	-0.438764	522.357290	0.006205	7.2
37	-0.264673	520.082868	0.003398	7.7
38	-1.168324	517.834665	0.011427	7.4
39	-0.984065	515.612193	0.011790	11.1
40	-0.674849	513.414976	0.014091	8.8
41	-0.677203	511.242551	0.005673	9.0
42	-1.251782	509.094468	0.009170	7.9
43	-1.150332	506.970285	0.014178	7.7
44	-0.781475	504.869574	0.009483	8.7
45	-0.621391	502.791916	0.007745	7.8
46	-0.419033	500.736903	0.002811	7.9
47	-1.200533	498.704137	0.011704	8.5
48	-1.285538	496.693228	0.022724	7.6
49	-0.477446	494.703798	0.003734	8.7
50	-0.668897	492.735476	0.012937	9.6
51	-0.034000	490.787900	0.002073	9.3
52	-0.797617	488.860718	0.011142	7.9
53	-1.182773	486.953585	0.011588	7.5
54	-1.104453	485.066164	0.006036	8.1
55	-1.004335	483.198126	0.017682	7.7
56	-1.229715	481.349149	0.014996	7.9
57	-0.654389	479.518920	0.011481	7.3
58	-0.953362	477.707132	0.009691	9.0
59	-1.063760	475.913485	0.011605	8.7
60	-0.674372	474.137684	0.005122	8.0
61	-0.971946	472.379445	0.009329	7.9
62	-0.019068	470.638485	0.000119	7.0
63	-0.097869	468.914531	0.002076	8.1
64	-0.577867	467.207315	0.008321	7.7
65	-1.135093	465.516573	0.010796	8.0
66	-0.388185	463.842050	0.003905	7.3
67	-0.625723	462.183494	0.010907	8.0
68	-0.790386	460.540658	0.013638	7.8
69	-0.676043	458.913303	0.008618	7.8
70	-0.173108	457.301192	0.003580	7.5
71	-1.191176	455.704096	0.013508	7.7
72	-0.527437	454.121787	0.003327	7.6
73	-1.219234	452.554045	0.004415	7.3
74	-0.926421	451.000653	0.010965	8.2
75	-1.300011	449.461399	0.012633	8.2
76	-0.167129	447.936075	0.003496	7.7
77	-0.622919	446.424477	0.011307	6.8
