1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.447883	2.000000	1.151910	977.8
1	-0.436590	2.000000	1.037857	238.9
2	-0.421771	2.000000	1.172552	277.7
3	-0.406791	1.000000	0.592649	258.2
4	-0.415296	1.000000	0.834827	262.4
5	-0.426283	1.000000	0.972151	256.7
6	-0.431596	1.000000	0.931635	237.0
7	-0.437188	0.500000	1.145414	243.8
8	-0.438479	0.500000	1.043604	249.5
9	-0.438822	0.500000	1.647422	246.5
10	-0.441571	0.500000	0.452054	249.8
11	-0.441825	0.250000	1.049364	261.1
12	-0.443415	0.125000	0.930699	240.7
13	-0.443208	0.062500	0.949966	245.5
14	-0.443465	0.062500	1.899710	250.5
15	-0.443585	0.062500	1.762403	249.4
16	-0.444486	0.062500	1.349571	249.3
17	-0.444959	0.062500	0.768443	261.0
