1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	1	-0.682809	5.000000	0.002144	1.000000	-0.001071	Main	true	true	WolfeSatisfied	667.7
1	1	1	-0.713274	5.000000	0.002159	6.796864	-0.000936	Main	true	true	WolfeSatisfied	442.8
2	2	0	-0.710668	1.000000	0.002177	16.129911	-0.000714	Main	true	true	WolfeSatisfied	283.7
3	3	0	-0.716442	1.000000	0.002256	11.110780	-0.006565	Main	true	true	WolfeSatisfied	279.7
4	4	0	-0.722236	1.000000	0.001953	8.955128	-0.002279	Main	true	true	WolfeSatisfied	304.8
5	5	0	-0.729275	1.000000	0.002141	6.449819	-0.001721	Main	true	true	WolfeSatisfied	297.4
6	6	0	-0.725852	1.000000	0.002257	13.824460	0.000328	Main	true	true	WolfeSatisfied	278.9
7	7	0	-0.728899	1.000000	0.002213	9.175720	-0.003350	Main	true	true	WolfeSatisfied	313.5
8	8	0	-0.726177	1.000000	0.002121	7.381776	-0.004633	Main	true	true	WolfeSatisfied	296.5
9	9	0	-0.731604	1.000000	0.002397	11.492402	-0.000255	Main	true	true	WolfeSatisfied	286.4
10	10	0	-0.736762	1.000000	0.002148	7.769712	-0.001168	Main	true	true	WolfeSatisfied	303.1
11	11	0	-0.734147	1.000000	0.002171	5.652112	-0.003034	Main	true	true	WolfeSatisfied	397.2
12	12	0	-0.736023	1.000000	0.002052	4.798135	-0.001393	Main	true	true	WolfeSatisfied	353.8
13	13	0	-0.740774	1.000000	0.002389	10.267007	-0.001698	Main	true	true	WolfeSatisfied	347.5
14	14	0	-0.740607	1.000000	0.002272	9.205643	-0.002346	Main	true	true	WolfeSatisfied	312.2
15	15	0	-0.749693	1.000000	0.002400	11.492204	-0.000649	Main	true	true	WolfeSatisfied	292.3
16	16	0	-0.741191	1.000000	0.002134	5.125626	-0.000070	Main	true	true	WolfeSatisfied	295.6
17	17	0	-0.739847	1.000000	0.002153	8.578141	-0.001939	Main	true	true	WolfeSatisfied	349.8
18	18	0	-0.746079	1.000000	0.002078	4.004954	-0.002137	Main	true	true	WolfeSatisfied	318.4
19	19	0	-0.754502	1.000000	0.002482	8.163800	-0.000554	Main	true	true	WolfeSatisfied	333.0
20	20	0	-0.759834	1.000000	0.002034	6.412533	-0.002038	Main	true	true	WolfeSatisfied	304.9
21	21	0	-0.754910	1.000000	0.002055	8.137691	-0.003307	Main	true	true	WolfeSatisfied	298.9
22	22	0	-0.761917	1.000000	0.002070	9.217111	0.001261	Main	true	true	WolfeSatisfied	312.8
23	23	0	-0.759491	1.000000	0.002221	10.010355	0.000451	Main	true	true	WolfeSatisfied	343.2
24	24	0	-0.751802	1.000000	0.002288	11.771807	-0.001484	Main	true	true	WolfeSatisfied	355.9
25	25	0	-0.759222	1.000000	0.002040	7.513502	-0.002189	Main	true	true	WolfeSatisfied	293.9
26	26	0	-0.751016	1.000000	0.002087	6.640809	-0.001760	Main	true	true	WolfeSatisfied	321.8
27	27	0	-0.765536	1.000000	0.002022	5.949743	-0.003456	Main	true	true	WolfeSatisfied	319.5
28	28	0	-0.762334	1.000000	0.001985	5.318649	-0.002386	Main	true	true	WolfeSatisfied	323.9
29	29	0	-0.766572	1.000000	0.002154	5.572835	-0.001248	Main	true	true	WolfeSatisfied	328.5
30	30	0	-0.769218	1.000000	0.002321	9.490636	-0.001178	Main	true	true	WolfeSatisfied	300.1
31	31	0	-0.762797	1.000000	0.002130	7.733850	-0.000261	Main	true	true	WolfeSatisfied	312.8
32	32	0	-0.770035	1.000000	0.001978	8.777503	-0.001984	Main	true	true	WolfeSatisfied	284.3
33	33	0	-0.777160	1.000000	0.002057	5.319653	-0.000429	Main	true	true	WolfeSatisfied	273.3
34	34	0	-0.776339	1.000000	0.002180	7.712882	-0.000689	Main	true	true	WolfeSatisfied	276.9
35	35	0	-0.785922	1.000000	0.002093	7.797582	-0.003332	Main	true	true	WolfeSatisfied	283.9
36	36	0	-0.788380	1.000000	0.001970	7.049767	-0.001159	Main	true	true	WolfeSatisfied	285.3
37	37	0	-0.783321	1.000000	0.002010	8.798985	-0.002380	Main	true	true	WolfeSatisfied	308.8
38	38	0	-0.776158	1.000000	0.002186	7.347507	-0.002514	Main	true	true	WolfeSatisfied	289.5
39	39	0	-0.781668	1.000000	0.002146	5.458276	-0.000839	Main	true	true	WolfeSatisfied	294.3
40	40	0	-0.786490	1.000000	0.001838	7.154466	0.000071	Main	true	true	WolfeSatisfied	290.0
41	41	0	-0.786917	1.000000	0.002122	4.488470	-0.001277	Main	true	true	WolfeSatisfied	308.9
42	42	0	-0.788195	1.000000	0.002223	7.113538	0.000812	Main	true	true	WolfeSatisfied	310.1
43	43	0	-0.785894	1.000000	0.002133	6.197965	-0.003052	Main	true	true	WolfeSatisfied	309.8
44	44	0	-0.777253	1.000000	0.002150	4.649689	-0.001685	Main	true	true	WolfeSatisfied	311.8
45	45	0	-0.787129	1.000000	0.001908	3.555066	-0.001588	Main	true	true	WolfeSatisfied	309.7
46	46	0	-0.783797	1.000000	0.002004	3.406193	-0.001908	Main	true	true	WolfeSatisfied	336.6
47	47	0	-0.782782	1.000000	0.001975	3.930451	-0.001597	Main	true	true	WolfeSatisfied	275.5
48	48	0	-0.789653	1.000000	0.002308	5.689024	-0.001389	Main	true	true	WolfeSatisfied	276.0
49	49	0	-0.786548	1.000000	0.002021	3.913489	-0.000821	Main	true	true	WolfeSatisfied	281.2
