1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.647551	21.000000	0.001460	1.000000	-0.000669	Main	true	true	WolfeSatisfied	744.2
1	1	0	-0.644393	1.000000	0.001558	28.293849	0.005066	Main	true	true	WolfeSatisfied	266.0
2	2	0	-0.665662	1.000000	0.001394	17.004789	-0.010164	Main	true	true	WolfeSatisfied	256.8
3	3	0	-0.674148	1.000000	0.001405	18.245992	-0.006148	Main	true	true	WolfeSatisfied	266.9
4	4	0	-0.683518	1.000000	0.001361	17.842192	-0.004467	Main	true	true	WolfeSatisfied	257.8
5	5	0	-0.694140	1.000000	0.001376	20.596298	-0.005057	Main	true	true	WolfeSatisfied	257.4
6	6	0	-0.699433	1.000000	0.001340	16.168575	-0.008234	Main	true	true	WolfeSatisfied	245.1
7	7	0	-0.709342	1.000000	0.001305	22.005088	-0.005056	Main	true	true	WolfeSatisfied	382.7
8	8	0	-0.697186	1.000000	0.001261	13.800122	-0.004850	Main	true	true	WolfeSatisfied	323.2
9	9	0	-0.702300	1.000000	0.001177	11.908777	-0.005760	Main	true	true	WolfeSatisfied	294.7
10	10	0	-0.723419	1.000000	0.001267	17.503276	-0.006594	Main	true	true	WolfeSatisfied	333.0
11	11	0	-0.727026	1.000000	0.001306	13.906032	-0.004820	Main	true	true	WolfeSatisfied	334.3
12	12	0	-0.720878	1.000000	0.001226	14.602403	-0.003694	Main	true	true	WolfeSatisfied	291.7
13	13	0	-0.728115	1.000000	0.001426	21.738737	-0.001362	Main	true	true	WolfeSatisfied	462.5
14	14	0	-0.725915	1.000000	0.001181	7.506769	-0.004263	Main	true	true	WolfeSatisfied	274.7
15	15	0	-0.725166	1.000000	0.001106	7.676861	-0.003963	Main	true	true	WolfeSatisfied	276.4
