1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.424141	2.000000	0.937413	276.9
1	-0.434826	1.000000	1.062574	169.9
2	-0.439210	0.500000	0.849235	223.2
3	-0.442343	0.500000	0.973396	217.1
4	-0.446557	0.250000	0.807671	222.2
5	-0.448290	0.250000	0.845402	197.3
6	-0.449949	0.125000	0.876746	171.7
7	-0.450790	0.125000	0.856054	180.1
8	-0.452281	0.125000	0.854153	170.1
9	-0.457809	0.062500	0.915948	177.4
10	-0.458403	0.062500	0.924354	173.3
11	-0.459196	0.062500	0.929107	180.3
12	-0.460363	0.062500	0.920862	178.2
13	-0.461611	0.062500	0.894444	174.8
14	-0.463522	0.062500	0.854609	175.8
15	-0.465690	0.062500	0.866095	178.1
16	-0.466782	0.062500	0.881024	177.3
17	-0.467681	0.062500	0.914406	181.7
18	-0.468933	0.062500	0.955062	180.4
19	-0.470215	0.062500	0.987566	173.8
20	-0.471105	0.062500	1.009254	179.7
21	-0.472031	0.062500	1.040679	184.5
22	-0.473083	0.062500	1.062410	181.8
23	-0.473742	0.062500	1.055495	217.5
24	-0.474277	0.062500	1.034539	201.4
