1:ItNr	1a:SrchDirNr	1b:LineItNr	2:Metric	3:StepLength	4a:||Gradient||	4b:||SearchDir||	4c:DirGradient	5:Phase	6a:Wolfe1	6b:Wolfe2	7:LinSrchStopCondition	Time[ms]
0	0	2	-0.700310	21.000000	0.001477	1.000000	-0.001108	Main	true	true	WolfeSatisfied	686.6
1	1	0	-0.707433	1.000000	0.001787	40.468594	0.028667	Main	true	true	WolfeSatisfied	239.0
2	2	0	-0.723911	1.000000	0.001321	22.557905	-0.003604	Main	true	true	WolfeSatisfied	234.2
3	3	0	-0.734971	1.000000	0.001189	14.836509	-0.011831	Main	true	true	WolfeSatisfied	248.1
4	4	0	-0.728176	1.000000	0.001294	25.963686	-0.003853	Main	true	true	WolfeSatisfied	235.1
5	5	0	-0.731445	1.000000	0.001195	16.645777	-0.004300	Main	true	true	WolfeSatisfied	250.1
6	6	0	-0.745635	1.000000	0.001197	11.120796	-0.008367	Main	true	true	WolfeSatisfied	243.6
7	7	0	-0.755964	1.000000	0.001199	24.915498	-0.004762	Main	true	true	WolfeSatisfied	239.4
8	8	0	-0.753977	1.000000	0.001128	16.475429	-0.005470	Main	true	true	WolfeSatisfied	233.6
9	9	0	-0.764370	1.000000	0.001192	16.668621	-0.006026	Main	true	true	WolfeSatisfied	237.6
10	10	0	-0.759838	1.000000	0.001164	17.690145	-0.004712	Main	true	true	WolfeSatisfied	244.6
11	11	0	-0.759021	1.000000	0.001071	10.433936	-0.006078	Main	true	true	WolfeSatisfied	237.8
12	12	0	-0.763801	1.000000	0.001030	22.689758	-0.005571	Main	true	true	WolfeSatisfied	232.6
13	13	0	-0.766712	1.000000	0.001122	14.836131	-0.005759	Main	true	true	WolfeSatisfied	240.6
14	14	0	-0.773077	1.000000	0.001060	12.626339	-0.006507	Main	true	true	WolfeSatisfied	247.7
15	15	0	-0.778449	1.000000	0.001151	24.610708	-0.004054	Main	true	true	WolfeSatisfied	256.0
16	16	0	-0.781032	1.000000	0.000990	12.101617	-0.005444	Main	true	true	WolfeSatisfied	244.8
17	17	0	-0.788391	1.000000	0.001170	23.904396	-0.006104	Main	true	true	WolfeSatisfied	233.8
18	18	0	-0.787030	1.000000	0.001219	18.439596	-0.000642	Main	true	true	WolfeSatisfied	235.3
19	19	0	-0.780302	1.000000	0.001092	10.159375	-0.004681	Main	true	true	WolfeSatisfied	238.8
20	20	0	-0.781809	1.000000	0.001087	10.893969	-0.004555	Main	true	true	WolfeSatisfied	252.0
21	21	0	-0.790120	1.000000	0.001035	9.729112	-0.004496	Main	true	true	WolfeSatisfied	377.4
22	22	0	-0.792240	1.000000	0.001003	11.598891	-0.004549	Main	true	true	WolfeSatisfied	334.2
23	23	0	-0.790093	1.000000	0.000973	16.465025	-0.004659	Main	true	true	WolfeSatisfied	303.8
24	24	0	-0.799777	1.000000	0.001096	12.540996	-0.004165	Main	true	true	WolfeSatisfied	246.7
25	25	0	-0.797393	1.000000	0.001030	13.879030	-0.003815	Main	true	true	WolfeSatisfied	238.4
26	26	0	-0.791783	1.000000	0.000972	10.903555	-0.004523	Main	true	true	WolfeSatisfied	238.4
27	27	0	-0.799626	1.000000	0.000971	11.902966	-0.004661	Main	true	true	WolfeSatisfied	271.2
28	28	0	-0.783017	1.000000	0.001009	18.623487	-0.002450	Main	true	true	WolfeSatisfied	276.0
29	29	0	-0.802689	1.000000	0.001079	13.630665	-0.002829	Main	true	true	WolfeSatisfied	286.8
30	30	0	-0.798669	1.000000	0.001153	21.836646	-0.001566	Main	true	true	WolfeSatisfied	242.6
31	31	0	-0.807131	1.000000	0.001097	11.270920	-0.003234	Main	true	true	WolfeSatisfied	236.8
32	32	0	-0.798707	1.000000	0.001083	8.303010	-0.005916	Main	true	true	WolfeSatisfied	241.9
33	33	0	-0.795458	1.000000	0.001063	12.224558	-0.004753	Main	true	true	WolfeSatisfied	260.0
34	34	0	-0.804240	1.000000	0.001080	11.129776	-0.004889	Main	true	true	WolfeSatisfied	242.4
35	35	0	-0.807394	1.000000	0.001161	13.073942	-0.003902	Main	true	true	WolfeSatisfied	239.4
36	36	0	-0.804559	1.000000	0.001119	11.717487	-0.002971	Main	true	true	WolfeSatisfied	255.5
37	37	0	-0.818154	1.000000	0.001012	14.344103	-0.004834	Main	true	true	WolfeSatisfied	249.3
38	38	0	-0.827216	1.000000	0.001031	14.143424	-0.004365	Main	true	true	WolfeSatisfied	240.2
39	39	0	-0.818221	1.000000	0.001136	15.064290	-0.002082	Main	true	true	WolfeSatisfied	241.5
40	40	0	-0.812290	1.000000	0.001031	22.393005	-0.002853	Main	true	true	WolfeSatisfied	256.3
41	41	0	-0.814630	1.000000	0.001038	9.101665	-0.004408	Main	true	true	WolfeSatisfied	248.4
42	42	0	-0.815453	1.000000	0.001155	10.481814	-0.003927	Main	true	true	WolfeSatisfied	242.5
43	43	0	-0.822537	1.000000	0.001046	13.357663	-0.002480	Main	true	true	WolfeSatisfied	238.2
44	44	0	-0.818080	1.000000	0.001102	15.364960	-0.004150	Main	true	true	WolfeSatisfied	242.4
45	45	0	-0.817843	1.000000	0.001140	13.302044	-0.001103	Main	true	true	WolfeSatisfied	241.9
46	46	0	-0.809503	1.000000	0.001103	11.260517	-0.004144	Main	true	true	WolfeSatisfied	236.9
47	47	0	-0.814393	1.000000	0.001083	12.534666	-0.002127	Main	true	true	WolfeSatisfied	233.0
48	48	0	-0.815162	1.000000	0.001063	11.841845	-0.003974	Main	true	true	WolfeSatisfied	234.1
49	49	0	-0.812979	1.000000	0.001006	11.255950	-0.002121	Main	true	true	WolfeSatisfied	249.7
50	50	0	-0.815155	1.000000	0.001097	11.436828	-0.003263	Main	true	true	WolfeSatisfied	239.5
51	51	0	-0.816478	1.000000	0.000976	8.098091	-0.004067	Main	true	true	WolfeSatisfied	240.2
52	52	0	-0.817488	1.000000	0.001105	13.420190	-0.002703	Main	true	true	WolfeSatisfied	244.8
53	53	0	-0.806669	1.000000	0.000920	10.208914	-0.003676	Main	true	true	WolfeSatisfied	245.4
54	54	0	-0.816246	1.000000	0.000914	9.006952	-0.004165	Main	true	true	WolfeSatisfied	236.6
55	55	0	-0.825367	1.000000	0.000958	11.846008	-0.002534	Main	true	true	WolfeSatisfied	235.1
56	56	0	-0.825320	1.000000	0.001024	9.070906	-0.003812	Main	true	true	WolfeSatisfied	232.5
57	57	0	-0.827617	1.000000	0.001043	10.856396	-0.004447	Main	true	true	WolfeSatisfied	232.8
58	58	0	-0.816803	1.000000	0.001015	8.542801	-0.002374	Main	true	true	WolfeSatisfied	238.4
59	59	0	-0.821734	1.000000	0.001074	9.884601	-0.003002	Main	true	true	WolfeSatisfied	237.0
60	60	0	-0.815908	1.000000	0.000988	9.582102	-0.003468	Main	true	true	WolfeSatisfied	243.0
61	61	0	-0.826861	1.000000	0.001041	10.132762	-0.003064	Main	true	true	WolfeSatisfied	244.3
62	62	0	-0.827322	1.000000	0.001112	10.076798	-0.003513	Main	true	true	WolfeSatisfied	251.7
63	63	0	-0.824528	1.000000	0.001040	9.761164	-0.003635	Main	true	true	WolfeSatisfied	248.0
64	64	0	-0.828977	1.000000	0.001102	9.354742	-0.002477	Main	true	true	WolfeSatisfied	230.3
65	65	0	-0.825388	1.000000	0.001080	7.895754	-0.003904	Main	true	true	WolfeSatisfied	236.6
66	66	0	-0.832956	1.000000	0.001032	11.658122	-0.003427	Main	true	true	WolfeSatisfied	240.5
67	67	0	-0.822181	1.000000	0.000990	8.659562	-0.003865	Main	true	true	WolfeSatisfied	237.8
68	68	0	-0.823164	1.000000	0.000953	7.203726	-0.004196	Main	true	true	WolfeSatisfied	245.5
69	69	0	-0.835178	1.000000	0.001080	9.517871	-0.003650	Main	true	true	WolfeSatisfied	250.5
70	70	0	-0.827011	1.000000	0.001034	7.538563	-0.003799	Main	true	true	WolfeSatisfied	241.4
71	71	0	-0.834954	1.000000	0.001049	7.761055	-0.004380	Main	true	true	WolfeSatisfied	249.9
72	72	0	-0.829652	1.000000	0.001010	8.961926	-0.002337	Main	true	true	WolfeSatisfied	237.1
73	73	0	-0.838439	1.000000	0.001162	15.227463	-0.002150	Main	true	true	WolfeSatisfied	232.3
74	74	0	-0.827011	1.000000	0.001049	10.030375	-0.003884	Main	true	true	WolfeSatisfied	238.6
