1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.514719	0.000000	6.645871	0.027664	1048.8
1	-0.549338	0.000000	6.645871	0.021374	3.9
2	-0.551575	0.658406	6.443839	0.041850	4.3
3	-0.543852	0.000000	6.645871	0.012861	3.9
4	-0.530196	0.999238	6.344005	0.018491	5.9
5	-0.526862	1.971605	6.075469	0.012967	4.0
6	-0.532727	2.737601	5.879418	0.024141	4.3
7	-0.558626	3.737600	5.641747	0.019273	4.7
8	-0.536788	2.824003	5.858096	0.020456	5.7
9	-0.549460	1.910385	6.091704	0.027594	4.1
10	-0.506850	0.996766	6.344718	0.021206	4.5
11	-0.557386	1.996759	6.068824	0.024379	4.3
12	-0.523203	2.971127	5.822141	0.014614	4.4
13	-0.561568	2.059415	6.052334	0.029322	4.3
14	-0.542657	1.145799	6.302021	0.018663	4.2
15	-0.550384	0.232341	6.573146	0.030229	4.0
16	-0.548028	1.232341	6.277489	0.032764	6.2
17	-0.564618	0.792856	6.404084	0.016266	4.2
18	-0.523557	0.000000	6.645871	0.027285	4.1
19	-0.527991	1.000000	6.343786	0.022477	4.0
20	-0.512853	0.086386	6.618644	0.020648	4.0
21	-0.570163	0.134329	6.603630	0.022926	5.0
22	-0.557724	1.134287	6.305299	0.021698	4.0
23	-0.523418	2.133949	6.032835	0.022141	4.2
24	-0.545333	3.086355	5.794288	0.027294	3.9
25	-0.538126	2.172737	6.022736	0.016501	7.2
26	-0.490362	3.172737	5.773582	0.015173	4.5
27	-0.516898	2.349313	5.977190	0.018293	4.3
28	-0.552599	3.109821	5.788649	0.014731	5.3
29	-0.539400	3.145204	5.780166	0.012295	6.0
30	-0.523838	4.023040	5.577391	0.017655	4.3
31	-0.571688	5.022996	5.363075	0.025926	5.0
32	-0.516475	5.128434	5.341433	0.024940	6.6
33	-0.555421	4.214822	5.534970	0.021837	6.0
34	-0.517651	5.214707	5.323854	0.015751	4.9
35	-0.565299	6.214665	5.128238	0.011515	4.9
36	-0.562355	5.485353	5.269452	0.022788	4.5
37	-0.543169	4.809987	5.407336	0.015258	4.2
38	-0.541094	4.424274	5.489371	0.028747	3.8
39	-0.563401	3.513094	5.693418	0.017376	4.1
40	-0.548570	4.513091	5.470262	0.010889	5.8
41	-0.531557	3.623069	5.667989	0.012601	4.2
42	-0.584758	3.533406	5.688704	0.028163	4.4
43	-0.532832	2.632549	5.905554	0.030175	3.9
44	-0.526522	1.718931	6.143039	0.022698	4.2
45	-0.553061	2.718931	5.884046	0.029068	4.2
46	-0.547483	3.718931	5.646008	0.027632	3.9
47	-0.532719	4.718931	5.426481	0.019000	3.9
48	-0.534777	3.805338	5.626341	0.022033	4.0
49	-0.537785	2.891720	5.841492	0.023558	6.0
50	-0.533119	3.891720	5.606816	0.014899	4.0
51	-0.554489	4.830045	5.403137	0.010342	4.2
52	-0.555870	3.918159	5.600867	0.018503	4.1
53	-0.549585	3.030521	5.807751	0.022573	4.3
54	-0.561406	2.116904	6.037283	0.014293	4.2
55	-0.527641	2.980897	5.819769	0.019110	6.5
56	-0.528092	2.067279	6.050271	0.020443	6.1
57	-0.537862	1.153661	6.299784	0.024357	14.9
58	-0.561042	0.240043	6.570763	0.024125	5.6
59	-0.518951	0.000000	6.645871	0.017751	4.8
60	-0.544844	0.999995	6.343787	0.024940	4.4
61	-0.530062	1.999995	6.067970	0.014503	3.9
62	-0.539670	2.999994	5.815138	0.036516	4.1
63	-0.546211	3.999980	5.582536	0.019172	5.1
64	-0.529458	4.999980	5.367823	0.023512	4.7
65	-0.524037	5.999969	5.169016	0.025765	4.4
66	-0.538683	6.999683	4.984460	0.025783	4.0
67	-0.508505	6.086064	5.152586	0.016972	4.6
68	-0.572004	5.172446	5.332451	0.020220	4.0
69	-0.549973	6.172164	5.136259	0.015847	4.8
70	-0.535591	7.171827	4.954002	0.009810	4.7
71	-0.538766	8.171794	4.784186	0.020222	5.1
72	-0.519012	7.258621	4.938786	0.021370	5.0
73	-0.549262	6.349922	5.102877	0.028345	4.0
74	-0.523720	7.349473	4.922959	0.020415	4.6
75	-0.546729	6.435855	5.086894	0.019506	4.4
76	-0.568623	7.387182	4.916419	0.019949	3.9
77	-0.546815	6.473580	5.079909	0.012935	4.3
78	-0.554557	7.425768	4.909745	0.019207	4.0
79	-0.540977	7.429459	4.909108	0.014763	5.4
80	-0.550338	6.516005	5.072077	0.025231	8.6
81	-0.519878	7.516005	4.894209	0.017414	7.8
82	-0.541534	8.515886	4.728413	0.018979	4.2
83	-0.538909	7.602715	4.879372	0.031770	7.9
84	-0.549358	8.327425	4.758798	0.021986	6.7
85	-0.509689	9.327425	4.601884	0.021178	9.8
86	-0.577655	10.327425	4.454987	0.027548	4.4
87	-0.547959	11.327090	4.317224	0.036499	4.2
88	-0.553004	10.413472	4.442784	0.046588	5.4
89	-0.533880	10.142462	4.481447	0.020622	4.1
90	-0.575987	9.228843	4.616891	0.017440	4.2
91	-0.540968	10.228741	4.469065	0.021427	3.8
92	-0.548822	9.356163	4.597527	0.019098	4.3
93	-0.547143	8.904364	4.666987	0.029291	4.6
94	-0.509059	7.991130	4.814000	0.021758	6.2
95	-0.561604	7.783039	4.848803	0.023073	4.6
96	-0.518351	8.783038	4.685999	0.019081	4.7
97	-0.531471	7.869420	4.834295	0.016327	9.7
98	-0.573311	8.833829	4.678021	0.020218	10.2
99	-0.524544	9.644651	4.554246	0.013899	11.4
100	-0.562320	8.731033	4.694196	0.014622	9.1
101	-0.572318	9.730184	4.541570	0.025297	20.6
102	-0.573299	10.730158	4.398443	0.019663	12.0
103	-0.545128	11.729725	4.264114	0.016714	11.0
104	-0.522585	11.188101	4.335866	0.014860	9.7
105	-0.562523	10.277035	4.462165	0.018451	10.3
106	-0.548783	9.363846	4.596364	0.025872	13.5
107	-0.556098	10.338036	4.453479	0.015674	11.2
108	-0.545856	11.338036	4.315763	0.026230	14.5
109	-0.576053	11.618618	4.278639	0.031364	13.5
110	-0.553108	10.705000	4.401933	0.017263	8.7
111	-0.537722	9.933946	4.511655	0.019631	16.6
112	-0.535301	10.933946	4.370374	0.025490	13.1
113	-0.579204	10.020698	4.499038	0.027455	7.6
114	-0.545627	9.107080	4.635564	0.017056	6.5
115	-0.537863	8.193461	4.780635	0.018660	6.1
116	-0.535570	9.190303	4.622785	0.015384	6.4
117	-0.532379	10.189905	4.474630	0.026190	6.0
118	-0.553637	9.276287	4.609657	0.026547	6.8
119	-0.544613	8.362669	4.753086	0.016061	7.7
120	-0.563931	7.449090	4.905720	0.022699	5.8
121	-0.538053	8.447202	4.739441	0.017249	7.0
122	-0.537742	7.533584	4.891194	0.019607	4.9
123	-0.542897	6.627664	5.051578	0.017030	4.4
124	-0.550709	5.714120	5.224327	0.019880	5.3
125	-0.528879	4.800501	5.409325	0.021981	5.1
126	-0.511520	5.800501	5.207488	0.020180	6.5
127	-0.555105	6.776184	5.024567	0.017891	5.3
128	-0.541458	5.863618	5.195253	0.021166	5.1
129	-0.490980	6.863602	5.008803	0.025829	5.3
130	-0.528320	7.788708	4.847848	0.026853	7.1
131	-0.506926	6.875393	5.006684	0.023562	5.0
132	-0.550039	7.875393	4.833295	0.024647	7.6
133	-0.545008	7.231502	4.943530	0.029821	6.1
134	-0.528719	6.320596	5.108354	0.014026	5.5
135	-0.529628	7.320566	4.927984	0.016447	7.1
136	-0.522769	7.684517	4.865457	0.019195	6.6
