1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.983750	627.201626	0.008729	481.7
1	-1.122430	623.504937	0.008954	8.8
2	-0.687416	619.865785	0.011355	7.9
3	-1.085855	616.282728	0.008137	8.5
4	-0.216344	612.754375	0.001830	10.4
5	-1.240259	609.279381	0.010938	9.1
6	-0.883496	605.856447	0.011439	7.9
7	-0.014414	602.484317	0.000245	9.1
8	-0.579468	599.161779	0.005643	11.3
9	-0.655038	595.887656	0.007519	8.8
10	-0.597921	592.660813	0.004735	8.0
11	-0.678977	589.480151	0.008611	7.5
12	-0.592602	586.344606	0.011298	8.7
13	-0.853623	583.253145	0.006380	9.6
14	-1.085329	580.204771	0.016696	9.2
15	-1.100770	577.198517	0.010337	8.0
16	-0.948322	574.233444	0.011437	8.2
17	-1.164458	571.308645	0.009673	7.3
18	-1.134305	568.423237	0.009998	10.2
19	-0.665813	565.576365	0.009413	8.9
20	-0.009203	562.767201	0.000047	8.9
21	-0.314497	559.994938	0.005038	8.3
22	-0.532048	557.258797	0.013973	7.7
23	-1.148301	554.558018	0.013026	12.1
24	-1.130991	551.891865	0.013045	8.3
25	-0.980383	549.259621	0.018388	8.3
26	-1.123377	546.660592	0.007071	8.7
27	-0.889737	544.094102	0.012684	10.7
28	-0.812953	541.559494	0.009484	8.6
29	-1.170312	539.056129	0.010011	7.7
30	-1.046445	536.583387	0.012465	8.0
31	-0.293461	534.140663	0.005471	8.0
32	-0.160375	531.727370	0.004066	9.9
33	-0.701293	529.342935	0.004387	9.4
34	-1.170804	526.986802	0.007625	8.5
35	-1.094639	524.658430	0.015332	8.0
36	-0.370759	522.357290	0.004268	7.0
37	-0.298551	520.082868	0.002483	9.4
38	-1.141282	517.834665	0.013190	8.4
39	-0.837527	515.612193	0.009174	9.5
40	-0.686936	513.414976	0.012356	8.7
41	-0.646583	511.242551	0.003593	8.6
42	-1.220941	509.094468	0.008424	10.2
43	-0.976351	506.970285	0.014501	8.5
44	-0.735103	504.869574	0.009697	8.5
45	-0.626446	502.791916	0.003444	9.8
46	-0.423994	500.736903	0.002627	10.7
47	-1.130250	498.704137	0.007591	7.9
48	-1.184604	496.693228	0.011412	8.0
49	-0.453080	494.703798	0.006803	7.6
50	-0.601772	492.735476	0.005496	7.8
